student_id,subject,topic,quiz_score,assignment_score,attempts,mastery_level,attendance,final_exam_score
1,Biology,Genetics,71.52491792577558,58.76855345602496,1,Low,77.79041292200138,58.809179776872995
2,Chemistry,Inorganic,65.95798174658846,65.60725247514388,2,Low,70.36582307187538,53.69579495944972
3,Biology,Ecology,33.64941184767679,82.25554523595355,1,Medium,69.68182589781772,52.63638350090501
4,Biology,Anatomy,82.58778522705865,64.61335549270197,3,Medium,74.75544822505934,71.15141603529925
5,English,Vocabulary,58.69852578643989,96.6915690703881,2,High,68.99361310081196,69.50760167320381
6,Biology,Anatomy,76.38611429262819,91.71275879058538,4,Low,72.70549546168043,75.28223081049674
7,Biology,Ecology,48.46472835413021,62.703250219893974,4,Low,82.3846657999541,58.564934848150216
8,Biology,Genetics,68.16183248276252,92.62656674021113,4,Medium,78.43618289568461,68.18674642443112
9,Mathematics,Algebra,71.98547353655647,81.31622689390036,3,Medium,81.98440259210962,73.15618083627751
10,Physics,Mechanics,54.24397780244838,66.32018269239587,3,Medium,86.79716344700701,58.697782968225944
11,Chemistry,Physical,52.546041481814214,66.86294382457721,2,High,65.6623715908795,63.59309226881904
12,Chemistry,Organic,57.62149088699227,72.99338660733395,4,Low,75.87047068238171,61.06999709832577
13,Biology,Genetics,75.84238988751011,68.28500496593225,3,Medium,60.81403536984442,67.3120086863352
14,English,Vocabulary,55.29807676528175,60.47364434623195,2,Medium,68.89677982652665,54.485203823384246
15,Biology,Ecology,60.871033504264176,79.26178828384131,3,High,67.97946906122648,67.59845616262677
16,Mathematics,Calculus,80.28480344167467,63.6207099376157,1,Medium,76.27012239371798,56.36495375884517
17,English,Grammar,60.887425801678766,55.96584096167572,3,Low,78.01322800949634,48.465379625497015
18,Biology,Genetics,64.81419991985865,67.58935331622263,4,Low,55.812287847009586,59.96033977062974
19,Mathematics,Probability,66.228172190596,61.510860791779805,2,Medium,74.19912664647511,59.24467823346294
20,Mathematics,Calculus,69.05627190650169,97.61856795430229,2,High,82.67296838706405,70.65443432882901
21,Chemistry,Physical,73.7339973699904,58.7139595946756,1,Medium,80.8685709380027,70.8169508591501
22,Mathematics,Algebra,53.11356409843174,59.50553405595842,1,High,64.0324770142281,50.9790931788499
23,Physics,Thermodynamics,58.56607879785173,84.44793284742323,3,Low,65.80575765766197,69.52473916731948
24,Physics,Mechanics,79.03049176343147,81.0997545363414,2,High,71.43254974231806,75.53456534394938
25,Biology,Ecology,65.15640679719861,73.66654387959638,1,Low,77.59882794248423,60.19582375329768
26,Mathematics,Algebra,80.59276177117385,54.9928076592567,3,High,84.20666715713071,69.17305862495196
27,Biology,Anatomy,75.24797343793881,94.82890785988194,4,Low,76.74833011991471,68.45103944553723
28,Chemistry,Organic,73.81401277856055,53.682541070578694,1,Medium,70.37473139798247,51.242689092791906
29,Chemistry,Organic,70.01742226346704,39.70207931321542,3,Medium,66.10485570374476,52.75252740373926
30,English,Vocabulary,68.32028959196023,80.40774873554035,2,Medium,88.64433447320319,74.77520618825265
31,Mathematics,Algebra,64.9436480639173,44.43782024708577,4,Low,64.29107501938887,56.87046382242518
32,Biology,Ecology,63.51041133342009,79.10511226921608,1,Medium,65.50480954821141,57.6258918552088
33,Mathematics,Probability,37.18318102174605,63.97972472235691,2,High,81.30074938601008,65.35867149264854
34,Physics,Thermodynamics,77.68908210634851,68.77041289219453,1,High,79.18639469172602,63.17491145650514
35,English,Comprehension,71.18042320650392,75.70678926368313,1,Medium,63.16734378545581,64.01624357983296
36,Biology,Anatomy,51.16921554007982,45.48847410189239,2,Medium,62.99868262269837,55.45401150708487
37,Physics,Thermodynamics,60.04686064171872,76.93465477706482,2,High,66.06879726370776,63.33068797821756
38,Mathematics,Probability,56.416355488880384,78.19396623402014,1,Medium,71.08598187918169,61.23610678585578
39,Chemistry,Physical,63.713666298066485,60.70674071370314,3,Medium,67.28180922243244,69.72490213993652
40,Physics,Optics,59.30065626606853,58.200061511394324,2,Low,77.71061748742264,64.13084098640508
41,English,Comprehension,50.797121984665544,71.43455648345656,2,Low,72.62608038793331,62.92344400098815
42,Physics,Optics,26.104791919171127,52.63418537998565,1,Medium,70.79952535372485,42.937642547589846
43,English,Comprehension,65.02176333433611,79.33902922687479,4,Medium,72.97542474168449,71.55903451520174
44,Chemistry,Inorganic,52.58717172217179,71.06424413001993,1,Medium,73.48214904964416,59.05933314552702
45,Mathematics,Probability,59.16280680737167,71.1139739192858,4,Medium,63.75048262167143,72.05520851281896
46,Chemistry,Organic,88.41536102882905,67.39872293940495,2,Medium,78.6201391194247,72.44381672856254
47,English,Grammar,55.05205986893513,59.597284397045456,1,Medium,91.10820309392503,58.7008358790153
48,Biology,Ecology,70.90569240723994,45.088210612483834,3,High,72.82318796772779,68.21553336101225
49,English,Vocabulary,60.10501576674445,71.92434583958699,1,Medium,50.434068542266054,54.7912584564816
50,English,Vocabulary,69.70450267679115,66.13212128609473,3,High,94.1231763983997,77.19559906136031
51,English,Grammar,52.92779142200358,49.787170808184015,3,Low,93.13666575878908,55.80790300846226
52,Biology,Genetics,72.3660960977051,88.36821182149983,1,High,60.605384033662695,66.39366234983707
53,Mathematics,Geometry,46.020152892625454,69.18513521366084,4,Medium,86.54354338408923,62.15620928662266
54,Mathematics,Algebra,57.029270680346926,88.40167049372258,3,Medium,89.78252114822463,66.69932132322074
55,Physics,Optics,56.30799445583481,39.863320421540855,1,Low,68.17657398879847,41.836903133853404
56,Biology,Genetics,71.65631353068355,78.99760047116528,3,Medium,73.91239851543142,72.29159258836407
57,Mathematics,Algebra,60.881585160425985,74.86514681643258,2,High,75.45607839925594,67.98832923366865
58,English,Comprehension,75.12288827336413,52.00517782640047,1,Medium,89.51143607795042,64.36148937204797
59,Mathematics,Algebra,54.23316402366433,90.88744935876247,3,Low,73.8906806437049,68.50133174368929
60,Biology,Genetics,54.92333789383069,59.009110318339665,2,Medium,67.43093909488404,50.91898121354312
61,English,Grammar,61.11952641196158,43.098238691655,3,Medium,84.5042383818605,55.05644701005203
62,Biology,Genetics,63.526535010109825,77.73339861880325,1,Medium,82.0024295336242,62.016847299005235
63,Physics,Thermodynamics,79.15328144865545,60.962365218429426,4,High,88.72377796547246,71.9543302299794
64,Mathematics,Geometry,68.1040029441226,86.48771317604377,1,Medium,59.05572341205633,60.2389982330895
65,Biology,Genetics,84.66631983648743,71.37853029208405,3,Medium,70.49934528520757,74.50260649309007
66,Mathematics,Geometry,54.81775160734504,53.956324575830656,4,Low,85.60446814110468,65.17974806070933
67,Biology,Anatomy,68.9877681437551,56.7727019516517,2,Medium,69.82087744194365,63.66539946640786
68,Mathematics,Geometry,69.96455359942489,88.13132756458873,3,Low,81.45375949585147,75.48998606124354
69,Physics,Thermodynamics,59.796196078737836,62.86537042063401,4,High,91.105784632233,76.83430459759059
70,Chemistry,Physical,61.767117986665305,78.76313383693943,2,Medium,72.3675828742804,66.6882594286298
71,Physics,Thermodynamics,76.62354181552814,77.6859918308487,2,High,57.96617560644845,68.71004794039723
72,English,Comprehension,46.72206955433887,86.08872810863878,2,Medium,73.77088693448545,61.53235406529049
73,Mathematics,Calculus,69.39917895316218,53.90180320508967,4,Medium,84.9711522189782,65.55937377078601
